Question,Option A,Option B,Option C,Option D,Correct Answer,,
Which country won the 2006 FIFA World Cup?,Italy,France,Germany,Spain,Italy,,
Who is the youngest player to score in a FIFA World Cup match?,Pele,Lionel Messi,Michael Owen,Kylian Mbappe,Pele,,
Which club has won the most Bundesliga titles?,Bayern Munich,Borussia Dortmund,Hamburg SV,Bayer Leverkusen,Bayern Munich,,
What is the nickname of the French national team?,Les Bleus,The Tricolore,The Roosters,The Gauls,Les Bleus,,
Which player has the most international caps?,Ahmed Hassan,Cristiano Ronaldo,Sergio Ramos,Gianluigi Buffon,Ahmed Hassan,,
Which country hosted the 2010 FIFA World Cup?,South Africa,Brazil,Germany,Japan,South Africa,,
Who is the only goalkeeper to win the Ballon d'Or?,Lev Yashin,Gianluigi Buffon,Manuel Neuer,Iker Casillas,Lev Yashin,,
Which team has won the most Serie A titles?,AC Milan,Inter Milan,Juventus,AS Roma,Juventus,,
What is the name of the annual match between Barcelona and Real Madrid?,El Clasico,Derby of Spain,The Big Match,La Liga Showdown,El Clasico,,
Which country won the 2019 FIFA Women's World Cup?,USA,Netherlands,Germany,Sweden,USA,,
Who is the all-time top scorer in the English Premier League?,Alan Shearer,Wayne Rooney,Andy Cole,Harry Kane,Alan Shearer,,
Which player has won the most World Cup titles?,Pele,Diego Maradona,Miroslav Klose,Gerd Muller,Pele,,
Which country has the most UEFA European Championship titles?,Germany,Spain,France,Italy,Germany,,
What is the record transfer fee paid for a football player?,€200 million,€222 million,€250 million,€263 million,€222 million,,
Which club is known as 'The Old Lady'?,AC Milan,Inter Milan,Juventus,AS Roma,Juventus,,
Who scored the fastest hat-trick in Premier League history?,Sadio Mane,Sergio Aguero,Robbie Fowler,James Beattie,Sadio Mane,,
Which country won the 2002 FIFA World Cup?,Brazil,Germany,France,Argentina,Brazil,,
What is the name of the FIFA world rankings for national teams?,FIFA/Coca-Cola World Ranking,FIFA Global Ranking,FIFA International Ranking,FIFA National Team Ranking,FIFA/Coca-Cola World Ranking,,
Which player has the most goals in a single Premier League season?,Alan Shearer,Andy Cole,Cristiano Ronaldo,Mohamed Salah,Mohamed Salah,,
Which country has never qualified for a FIFA World Cup?,Iceland,Panama,Qatar,Finland,Finland,,
Who is the only player to score in three World Cup finals?,Pele,Vava,Geoff Hurst,Zinedine Zidane,Pele,,
Which club has won the most Ligue 1 titles?,Paris Saint-Germain,Marseille,Lyon,Monaco,Paris Saint-Germain,,
What does IQ stand for?,Intelligence Quota,Intelligence Quotient,Intelligent Quality,Intellectual Query,Intelligence Quotient,,
Who developed the first modern intelligence test?,Alfred Binet,Sigmund Freud,Jean Piaget,Howard Gardner,Alfred Binet,,
What is the average IQ score?,85,100,115,130,100,,
Which psychologist proposed the theory of multiple intelligences?,Lewis Terman,Howard Gardner,Daniel Goleman,David Wechsler,Howard Gardner,,
What is the standard deviation in most IQ tests?,10,15,20,25,15,,
Which of these is NOT a type of intelligence in Gardner's theory?,Linguistic,Musical,Emotional,Spatial,Emotional,,
"What is the IQ range for ""gifted"" individuals?",115-130,130-145,145-160,Above 130,Above 130,,
Which test is commonly used to measure adult intelligence?,Stanford-Binet,WAIS,WISC,MRI,WAIS,,
What does a high IQ correlate with in general?,Higher income,Better health,Longer lifespan,All of the above,All of the above,,
What is the Flynn Effect?,IQ scores decreasing over time,IQ scores increasing over time,IQ scores staying the same,IQ scores varying randomly,IQ scores increasing over time,,
Which of these is NOT a component of the Wechsler IQ test?,Verbal Comprehension,Perceptual Reasoning,Emotional Intelligence,Working Memory,Emotional Intelligence,,
"What is ""fluid intelligence""?",Knowledge acquired through experience,Ability to solve new problems,Memory capacity,Social skills,Ability to solve new problems,,
"Who coined the term ""IQ""?",William Stern,Alfred Binet,Charles Spearman,Francis Galton,William Stern,,
What is the approximate IQ of a genius-level score?,120,140,160,180,140,,
Which of these is a non-verbal IQ test?,Raven's Progressive Matrices,Stanford-Binet,WAIS,Minnesota Multiphasic, Raven's Progressive Matrices,,
"What is ""crystallized intelligence""?",Ability to think logically,Knowledge from experience,Creativity,Processing speed,Knowledge from experience,,
"Which psychologist introduced the concept of ""g factor""?",Lewis Terman,Charles Spearman,Robert Sternberg,Daniel Kahneman,Charles Spearman,,
What is the purpose of an IQ test?,To measure emotional intelligence,To assess cognitive abilities,To diagnose mental illness,To predict job performance,To assess cognitive abilities,,
Which of these can affect IQ scores?,Education,Nutrition,Environment,All of the above,All of the above,,
What is the highest possible IQ score on most standard tests?,150,170,190,No strict upper limit,No strict upper limit,,
Which test is used for children's IQ measurement?,WAIS,WISC,MMPI,Rorschach,WISC,,
What does a percentile rank in an IQ test indicate?,How many questions were correct,Comparison to others of the same age,Emotional intelligence level,Memory capacity,Comparison to others of the same age,,
Which of these is NOT a criticism of IQ tests?,Cultural bias,Overemphasis on academic skills,Inability to measure creativity,Too short in duration,Too short in duration,,
What is the correlation between IQ and academic success?,Weak,Moderate,Strong,None,Strong,,
Which psychologist worked on the Stanford-Binet Intelligence Scales?,Lewis Terman,David Wechsler,Jean Piaget,Howard Gardner,Lewis Terman,,
Which type of intelligence involves understanding others' emotions?,Interpersonal,Logical-mathematical,Naturalist,Existential,Interpersonal,,
"What is the approximate IQ range for ""moderate intellectual disability""?",20-34,35-49,50-69,70-85,35-49,,
Which of these is a measure of working memory in IQ tests?,Digit Span,Word Association,Emotional Recognition,Visual Puzzles,Digit Span,,
"What is the ""Mozart Effect""?",Temporary boost in spatial reasoning after listening to music,Permanent increase in IQ from childhood music training,Decline in IQ due to noise exposure,No real effect on intelligence,Temporary boost in spatial reasoning after listening to music,,
Which of these is NOT part of the Triarchic Theory of Intelligence?,Analytical,Creative,Practical,Emotional,Emotional,,
What is the term for an IQ below 70?,Gifted,Average,Intellectual disability,Superior,Intellectual disability,,
Which of these is a common myth about IQ?,IQ is fixed for life,IQ measures only book smarts,High IQ guarantees success,All of the above,All of the above,,
What is the relationship between brain size and IQ?,No correlation,Strong positive correlation,Weak positive correlation,Negative correlation,Weak positive correlation,,
Which IQ test is most commonly used for college admissions?,SAT,ACT,WAIS,Mensa Test,SAT,,
"What is ""emotional intelligence"" (EQ)?",Ability to solve math problems,Understanding and managing emotions,Memory recall speed,Physical coordination,Understanding and managing emotions,,
Which of these is NOT a type of IQ test?,Stanford-Binet,Rorschach,Raven's Progressive Matrices,Cattell Culture Fair,Rorschach,,
"What is the ""Dunning-Kruger effect""?",Overestimating one's intelligence,Underestimating one's intelligence,Both A and B,Neither A nor B,Both A and B,,
Which psychologist studied the heritability of IQ?,Francis Galton,Jean Piaget,Erik Erikson,Carl Rogers,Francis Galton,,
What is the approximate heritability estimate of IQ?,20-30%,40-50%,60-70%,80-90%,60-70%,,
Which of these is a sign of high emotional intelligence?,Good memory,High test scores,Empathy and social skills,Fast reaction time,Empathy and social skills,,
"What is the ""g factor"" in intelligence?",General intelligence,Genetic influence on IQ,Giftedness score,Group testing method,General intelligence,,
Which of these is NOT a component of intelligence in the CHC theory?,Fluid reasoning,Crystallized knowledge,Emotional stability,Visual processing,Emotional stability,,
"What is the ""threshold theory"" regarding IQ and creativity?",High IQ guarantees creativity,Creativity requires at least average IQ,No relation between IQ and creativity,Low IQ enhances creativity,Creativity requires at least average IQ,,
Which of these is a real high-IQ society?,Mensa,Intertel,Top One Percent,All of the above,All of the above,,
"What is the ""Matthew Effect"" in IQ development?",Rich get richer, poor get poorer in cognitive skills,IQ declines with age,IQ is unaffected by environment,IQ peaks in adolescence,,
Which of these is NOT a valid use of IQ tests?,Diagnosing intellectual disabilities,Predicting job performance,Measuring happiness,Assessing learning disabilities,Measuring happiness,,
"What is the ""stereotype threat"" in IQ testing?",Underperformance due to negative stereotypes,Overperformance due to praise,Test bias against certain cultures,Genetic differences in IQ,Underperformance due to negative stereotypes,,
"Which of these is a criticism of the ""g factor""?",It oversimplifies intelligence,It ignores emotional intelligence,It is culturally biased,All of the above,All of the above,,
"What is the ""IQ-achievement discrepancy"" model used for?",Identifying learning disabilities,Predicting job success,Measuring creativity,Assessing emotional intelligence,Identifying learning disabilities,,
Which of these is NOT a way to potentially improve cognitive abilities?,Brain training games,Physical exercise,Proper nutrition,Watching TV,Watching TV,,
What is the capital of Canada,Toronto,Vancouver,Ottawa,Montreal,Ottawa,,
"Who wrote ""Romeo and Juliet",Charles Dickens,Mark Twain,William Shakespeare,Jane Austen, William Shakespeare,,
What currency is used in Japan,Yuan,Won,Yen,Ringgit, Yen,,
Which movie won Best Picture at the 2020 Oscars,1917,Joker, Parasite,Ford v Ferrari,Parasite,,
"Who sings the hit song ""Shape of You",Justin Bieber,Ed Sheeran,Shawn Mendes,Bruno Mars,Ed Sheeran,,
What is the capital of France?,Paris,Berlin,Madrid,Rome,Paris,,
What gas do plants absorb from the air?,Oxygen,Carbon Dioxide,Nitrogen,Hydrogen,Carbon Dioxide,,
Who wrote 'Hamlet'?,Charles Dickens,William Shakespeare,Mark Twain,Leo Tolstoy,William Shakespeare,,
Which planet is known as the Red Planet?,Jupiter,Mars,Saturn,Venus,Mars,,
What is the boiling point of water in Celsius?,50,90,100,120,100,,
In which year did World War II end?,1943,1944,1945,1946,1945,,
Who painted the Mona Lisa?,Picasso,Da Vinci,Michelangelo,Van Gogh,Da Vinci,,
What is the largest ocean?,Atlantic,Indian,Pacific,Arctic,Pacific,,
Which element has the atomic number 1?,Helium,Hydrogen,Oxygen,Carbon,Hydrogen,,
How many legs does a spider have?,6,8,10,12,8,,
Who discovered gravity?,Einstein,Newton,Galileo,Kepler,Newton,,
What is the hardest natural substance?,Iron,Diamond,Steel,Granite,Diamond,,
Which is the smallest continent?,Europe,Antarctica,Australia,South America,Australia,,
What is H2O?,Salt,Water,Oxygen,Hydrogen,Water,,
Who was the first man on the moon?,Buzz Aldrin,Neil Armstrong,Yuri Gagarin,Michael Collins,Neil Armstrong,,
Which organ pumps blood?,Lungs,Liver,Heart,Kidney,Heart,,
How many continents are there?,5,6,7,8,7,,
Which is the largest planet?,Earth,Mars,Jupiter,Saturn,Jupiter,,
What do bees produce?,Wax,Nectar,Pollen,Honey,Honey,,
Which language has the most native speakers?,English,Spanish,Hindi,Mandarin,Mandarin,,
Which country has the most population?,USA,India,China,Russia,China,,
Who developed the theory of relativity?,Einstein,Newton,Galileo,Bohr,Einstein,,
What is the largest mammal?,Elephant,Hippo,Blue Whale,Giraffe,Blue Whale,,
Which animal is known as the king of the jungle?,Tiger,Lion,Leopard,Jaguar,Lion,,
Which metal is liquid at room temperature?,Iron,Aluminum,Mercury,Lead,Mercury,,
What is the longest river in the world?,Amazon,Nile,Yangtze,Mississippi,Nile,,
How many colors are there in a rainbow?,5,6,7,8,7,,
What is the main gas in the air?,Oxygen,Nitrogen,Hydrogen,Carbon,Nitrogen,,
How many hours in a day?,12,24,48,60,24,,
What is the capital of Japan?,Beijing,Seoul,Tokyo,Hanoi,Tokyo,,
Who wrote ‘1984’?,Orwell,Austen,Tolkien,Dickens,Orwell,,
What is the square root of 64?,6,7,8,9,8,,
Which is the largest desert?,Sahara,Gobi,Arctic,Atacama,Sahara,,
What does DNA stand for?,Digital Nucleic Acid,Deoxyribonucleic Acid,Dense Nucleic Agent,Deoxyneon Acid,Deoxyribonucleic Acid,,
Who was the first President of the USA?,Lincoln,Washington,Adams,Roosevelt,Washington,,
Which country gifted the Statue of Liberty to the USA?,UK,Germany,France,Italy,France,,
Which planet has rings?,Venus,Mars,Jupiter,Saturn,Saturn,,
Which blood type is universal donor?,A,B,O,AB,O,,
What is the capital of Egypt?,Cairo,Alexandria,Luxor,Aswan,Cairo,,
Which is the fastest land animal?,Cheetah,Lion,Tiger,Horse,Cheetah,,
How many players in a football team?,9,10,11,12,11,,
What is the freezing point of water?,0°C,32°C,-5°C,100°C,0°C,,
Who invented the telephone?,Edison,Bell,Marconi,Newton,Bell,,
What does CPU stand for?,Central Processing Unit,Control Process Unit,Central Programming Unit,Computer Power Unit,Central Processing Unit,,
Where are the Pyramids?,India,Mexico,China,Egypt,Egypt,,
What color is chlorophyll?,Red,Blue,Green,Yellow,Green,,
Which bird can mimic human speech?,Eagle,Owl,Parrot,Sparrow,Parrot,,
Which is the smallest bone in the human body?,Femur,Stapes,Humerus,Ulna,Stapes,,
Who discovered penicillin?,Darwin,Einstein,Fleming,Newton,Fleming,,
What is the capital of Australia?,Sydney,Melbourne,Canberra,Brisbane,Canberra,,
What is the smallest prime number?,0,1,2,3,2,,
Which instrument has 88 keys?,Guitar,Violin,Drums,Piano,Piano,,
Which country is known as the Land of the Rising Sun?,China,Korea,Thailand,Japan,Japan,,
Which organ is responsible for filtering blood?,Lungs,Liver,Heart,Kidneys,Kidneys,,
How many teeth does a typical adult human have?,28,30,32,34,32,,
What is the chemical symbol for iron?,Ir,In,Fe,Fo,Fe,,
What is the speed of light?,300000 km/s,150000 km/s,200000 km/s,100000 km/s,300000 km/s,,
What is the tallest animal?,Elephant,Moose,Giraffe,Horse,Giraffe,,
Who invented the light bulb?,Newton,Edison,Bell,Tesla,Edison,,
Which country is famous for pizza?,Spain,Greece,Italy,France,Italy,,
How many days in a leap year?,365,366,364,360,366,,
Which country is the Eiffel Tower in?,Italy,France,Germany,UK,France,,
Which part of the body helps you hear?,Eye,Nose,Tongue,Ear,Ear,,
Who is the author of 'Harry Potter'?,Tolkien,Rowling,Austen,Hemingway,Rowling,,
How many legs does a crab have?,6,8,10,12,10,,
Which planet is closest to the sun?,Venus,Mars,Mercury,Earth,Mercury,,
What is the largest island in the world?,Greenland,Madagascar,Australia,Borneo,Greenland,,
Which bird is a symbol of peace?,Crow,Eagle,Owl,Dove,Dove,,
What is the capital of Germany?,Munich,Berlin,Frankfurt,Hamburg,Berlin,,
What gas do humans breathe in?,Oxygen,Hydrogen,Nitrogen,Carbon,Oxygen,,
Which metal is most used in construction?,Gold,Copper,Iron,Silver,Iron,,
How many strings does a guitar have?,4,5,6,7,6,,
What color do you get when you mix red and blue?,Green,Yellow,Purple,Orange,Purple,,
Who painted Starry Night?,Picasso,Van Gogh,Da Vinci,Monet,Van Gogh,,
How many bones in the adult human body?,200,206,210,190,206,,
Which shape has 5 sides?,Square,Hexagon,Triangle,Pentagon,Pentagon,,
What is the currency of Japan?,Yuan,Won,Yen,Dollar,Yen,,
Which continent is Egypt in?,Asia,Europe,South America,Africa,Africa,,
Who discovered America?,Magellan,Columbus,Vespucci,Drake,Columbus,,
What is the largest cat species?,Leopard,Tiger,Lion,Cheetah,Tiger,,
Which planet is known for its rings?,Earth,Neptune,Saturn,Uranus,Saturn,,
What is the most spoken language in the world?,English,Mandarin,Spanish,Hindi,Mandarin,,
Which scientist proposed the laws of motion?,Einstein,Galileo,Newton,Tesla,Newton,,
What is the longest bone in the body?,Humerus,Femur,Tibia,Ulna,Femur,,
Which sea creature has eight legs?,Fish,Crab,Octopus,Shark,Octopus,,
What is the capital of Brazil?,São Paulo,Rio de Janeiro,Brasília,Recife,Brasília,,
Which country has the Great Wall?,India,China,Japan,Thailand,China,,
How many hours in three days?,48,60,72,36,72,,
What is the chemical formula for salt?,CO2,NaCl,H2O,CH4,NaCl,,
Which is the coldest planet?,Uranus,Earth,Mars,Neptune,Neptune,,
What is the capital of Canada?,Toronto,Montreal,Ottawa,Vancouver,Ottawa,,
What part of the plant makes food?,Root,Stem,Flower,Leaf,Leaf,,
Which animal is known for its memory?,Cat,Elephant,Fish,Horse,Elephant,,
How many days in a week?,5,6,7,8,7,,
Which color is made by mixing blue and yellow?,Red,Purple,Brown,Green,Green,,
What is the study of life called?,Physics,Geology,Chemistry,Biology,Biology,,
What do you call an animal that eats only plants?,Omnivore,Carnivore,Herbivore,Predator,Herbivore,,
Which is the hottest planet?,Venus,Mercury,Mars,Earth,Venus,,
What is the capital of Turkey?,Istanbul,Izmir,Bursa,Ankara,Ankara,,
What part of the body has the iris?,Ear,Nose,Eye,Mouth,Eye,,
Which animal is the tallest in the world?,Elephant,Kangaroo,Horse,Giraffe,Giraffe,,
How many planets are in our solar system?,7,8,9,10,8,,
What is the capital of Russia?,St. Petersburg,Kazan,Sochi,Moscow,Moscow,,
Which fruit has its seeds on the outside?,Apple,Strawberry,Banana,Grapes,Strawberry,,
What is the currency of the UK?,Dollar,Euro,Pound,Yen,Pound,,
What is the main ingredient in sushi?,Bread,Noodles,Rice,Potato,Rice,,
Who wrote 'The Odyssey'?,Plato,Socrates,Homer,Aristotle,Homer,,
What is the square root of 81?,7,8,9,10,9,,
What is the largest country by area?,USA,Russia,China,Canada,Russia,,
Which continent is Brazil in?,North America,Europe,Africa,South America,South America,,
What color is the sun?,White,Yellow,Red,Orange,Yellow,,
Which sense is associated with the tongue?,Sight,Hearing,Taste,Touch,Taste,,
What instrument does a pianist play?,Guitar,Drums,Flute,Piano,Piano,,
What is the main language in Brazil?,Spanish,Portuguese,French,Italian,Portuguese,,
Which season comes after summer?,Winter,Spring,Autumn,Fall,Autumn,,
What does a thermometer measure?,Weight,Speed,Temperature,Time,Temperature,,
Which is the smallest planet?,Mars,Mercury,Venus,Pluto,Mercury,,
Which country is famous for kangaroos?,India,USA,Australia,Kenya,Australia,,
What color is the sky on a clear day?,Green,Blue,Grey,Yellow,Blue,,
Who was the first person in space?,Armstrong,Aldrin,Gagarin,Collins,Gagarin,,
How many minutes in an hour?,30,60,90,100,60,,
Which is the closest star to Earth?,Moon,Mars,Venus,Sun,Sun,,
What is the main ingredient of bread?,Sugar,Rice,Flour,Oil,Flour,,
How many zeros in a million?,4,5,6,7,6,,
What do camels store in their humps?,Water,Milk,Fat,Bones,Fat,,
What is the capital of Iraq?,Mosul,Erbil,Basra,Baghdad,Baghdad,,
What shape is a football (soccer) ball?,Cube,Cylinder,Sphere,Pyramid,Sphere,,
Which is the national sport of Japan?,Judo,Karate,Soccer,Sumo,Sumo,,
What is used to write on a blackboard?,Pen,Marker,Chalk,Brush,Chalk,,
What does a botanist study?,Animals,Stones,Stars,Plants,Plants,,
Which month has 28 days?,February,April,June,All of them,All of them,,
Which is heavier: 1kg of feathers or 1kg of iron?,Feathers,Iron,Both same,None,Both same,,
What is the main language in Egypt?,Arabic,French,English,Greek,Arabic,,
Who built the Taj Mahal?,Akbar,Babur,Shah Jahan,Jahangir,Shah Jahan,,
What is the opposite of 'Hot'?,Warm,Lukewarm,Cold,Boiling,Cold,,
How many sides does a triangle have?,2,3,4,5,3,,
Which part of the plant absorbs water?,Stem,Leaf,Root,Flower,Root,,
What do we call animals that eat meat?,Herbivores,Omnivores,Carnivores,Insectivores,Carnivores,,
What is 10 x 10?,100,110,90,120,100,,
Which color is made by mixing red and yellow?,Orange,Green,Purple,Brown,Orange,,
How many vowels in the English alphabet?,4,5,6,7,5,,
Which is a mammal?,Frog,Turtle,Eagle,Dolphin,Dolphin,,
Where does the President of the USA live?,White House,Pentagon,Congress,Capitol,White House,,
What is the name of our galaxy?,Solar System,Andromeda,Milky Way,Orion,Milky Way,,
Which day comes after Friday?,Monday,Saturday,Thursday,Sunday,Saturday,,
What color do you get when you mix black and white?,Brown,Grey,Pink,Blue,Grey,,
Which country is shaped like a boot?,Spain,Italy,Greece,France,Italy,,
What is the first letter in the English alphabet?,B,C,A,D,A,,
Which animal gives us wool?,Goat,Dog,Sheep,Cow,Sheep,,
How many fingers do humans have?,8,10,12,5,10,,
Which sense helps us see?,Touch,Smell,Sight,Hearing,Sight,,
What do you use to measure weight?,Thermometer,Ruler,Scale,Clock,Scale,,
Which planet is known as the Earth’s twin?,Venus,Mars,Jupiter,Saturn,Venus,,
How many months in a year?,10,11,12,13,12,,
What do bees collect?,Honey,Dust,Nectar,Leaves,Nectar,,
What animal is known as man’s best friend?,Cat,Horse,Dog,Bird,Dog,,
What do cows produce?,Meat,Wool,Milk,Honey,Milk,,
What is the shape of a stop sign?,Circle,Triangle,Octagon,Square,Octagon,,
What does a thermometer measure?,Speed,Time,Temperature,Distance,Temperature,,
Which part of the body helps you smell?,Eye,Nose,Mouth,Ear,Nose,,
What does the heart do?,Think,Breathe,Pump blood,Speak,Pump blood,,
Which animal lives in water?,Dog,Cat,Shark,Horse,Shark,,
Which animal is known to hoot?,Eagle,Owl,Hawk,Duck,Owl,,
What do you use to cut paper?,Pen,Brush,Scissors,Needle,Scissors,,
What comes after 99?,98,100,101,102,100,,
What is a baby dog called?,Puppy,Cub,Kitten,Chick,Puppy,,
How many letters in the word “school”?,5,6,7,8,6,,
Which part of your body do you use to walk?,Hands,Head,Legs,Eyes,Legs,,
What do you call frozen water?,Steam,Fog,Snow,Ice,Ice,,
What color are bananas when ripe?,Green,Red,Yellow,Purple,Yellow,,
What do we use an umbrella for?,Eat,Read,Sleep,Stay dry,Stay dry,,
Which insect makes honey?,Bee,Ant,Butterfly,Fly,Bee,,
How many sides does a square have?,3,4,5,6,4,,
Which is a fruit?,Potato,Carrot,Apple,Spinach,Apple,,
What is the capital of Saudi Arabia?,Mecca,Medina,Riyadh,Jeddah,Riyadh,,
Which bird is flightless?,Parrot,Eagle,Ostrich,Pigeon,Ostrich,,
Which animal says “moo”?,Cat,Dog,Cow,Goat,Cow,,
How many toes does a person have?,5,8,10,12,10,,
Which is the hottest part of the day?,Morning,Noon,Evening,Night,Noon,,
Which shape has no corners?,Triangle,Square,Rectangle,Circle,Circle,,
What color is grass?,Blue,Green,Yellow,Brown,Green,,
Which day is the start of the week?,Sunday,Monday,Saturday,Friday,Sunday,,
What do you wear on your feet?,Shirt,Pants,Shoes,Hat,Shoes,,
What’s the opposite of 'Up'?,Down,Side,Front,Back,Down,,
What animal goes “quack”?,Cat,Duck,Frog,Goat,Duck,,
Which planet is famous for storms?,Earth,Jupiter,Mars,Neptune,Jupiter,,
How many wheels does a bicycle have?,1,2,3,4,2,,
What do you wear to see better?,Helmet,Scarf,Glasses,Watch,Glasses,,
Which is used to write?,Knife,Brush,Pen,Spoon,Pen,,
How many letters in the English alphabet?,25,26,27,28,26,,
Where do fish live?,Desert,Air,Sea,Mountain,Sea,,
What do birds use to fly?,Legs,Wings,Tail,Fins,Wings,,
What is the opposite of 'Happy'?,Glad,Excited,Sad,Fun,Sad,,
What do you use to tell time?,Phone,Watch,Calendar,Book,Watch,,
What is the last day of the week?,Thursday,Friday,Saturday,Sunday,Saturday,,
How many hours are in a day?,12,18,24,30,24,,
What is the tallest mountain in the world?,K2,Kilimanjaro,Everest,Alps,Everest,,
Which animal is known for its black and white stripes?,Tiger,Zebra,Panther,Cow,Zebra,,
What do you drink when you're thirsty?,Oil,Juice,Milk,Water,Water,,
Which object orbits the Earth?,Sun,Star,Moon,Mars,Moon,,
What do you wear on a cold day?,T-shirt,Jacket,Shorts,Cap,Jacket,,
Which animal says “meow”?,Dog,Cat,Horse,Cow,Cat,,
